id,外貌,星座,状态,性格,消费观念,是否接收私房钱,收入,男生收入,男生消费情况,男生颜值,结果
71,2,4,1,2,1,1,3,2,2,2,2
74,2,4,1,1,1,2,2,1,1,1,5
74,2,4,1,1,1,2,2,1,1,2,5
74,2,4,1,1,1,2,2,1,2,1,4
74,2,4,1,1,1,2,2,1,2,2,3
74,2,4,1,1,1,2,2,2,1,1,5
74,2,4,1,1,1,2,2,2,1,2,5
74,2,4,1,1,1,2,2,2,2,1,5
74,2,4,1,1,1,2,2,2,2,2,5
75,2,4,3,3,3,1,2,1,1,1,4
75,2,4,3,3,3,1,2,1,1,2,4
75,2,4,3,3,3,1,2,1,2,1,1
75,2,4,3,3,3,1,2,1,2,2,1
75,2,4,3,3,3,1,2,2,1,1,1
75,2,4,3,3,3,1,2,2,1,2,1
75,2,4,3,3,3,1,2,2,2,1,1
75,2,4,3,3,3,1,2,2,2,2,1
76,2,4,2,3,1,2,3,1,1,1,3
76,2,4,2,3,1,2,3,1,1,2,2
76,2,4,2,3,1,2,3,1,2,1,3
76,2,4,2,3,1,2,3,1,2,2,2
76,2,4,2,3,1,2,3,2,1,1,2
76,2,4,2,3,1,2,3,2,1,2,2
76,2,4,2,3,1,2,3,2,2,1,1
76,2,4,2,3,1,2,3,2,2,2,1
77,2,3,2,3,1,2,2,1,1,1,5
77,2,3,2,3,1,2,2,1,1,2,5
77,2,3,2,3,1,2,2,1,2,1,4
77,2,3,2,3,1,2,2,1,2,2,4
77,2,3,2,3,1,2,2,2,1,1,5
77,2,3,2,3,1,2,2,2,1,2,5
77,2,3,2,3,1,2,2,2,2,1,4
77,2,3,2,3,1,2,2,2,2,2,4
78,2,3,1,2,2,2,2,1,1,1,2
78,2,3,1,2,2,2,2,1,1,2,3
78,2,3,1,2,2,2,2,1,2,1,5
78,2,3,1,2,2,2,2,1,2,2,3
78,2,3,1,2,2,2,2,2,1,1,2
78,2,3,1,2,2,2,2,2,1,2,2
78,2,3,1,2,2,2,2,2,2,1,3
78,2,3,1,2,2,2,2,2,2,2,2
80,2,2,1,3,2,1,2,1,1,1,1
80,2,2,1,3,2,1,2,1,1,2,2
80,2,2,1,3,2,1,2,1,2,1,1
80,2,2,1,3,2,1,2,1,2,2,1
80,2,2,1,3,2,1,2,2,1,1,1
80,2,2,1,3,2,1,2,2,1,2,1
80,2,2,1,3,2,1,2,2,2,1,1
80,2,2,1,3,2,1,2,2,2,2,1
81,2,2,1,2,2,2,2,1,1,1,5
81,2,2,1,2,2,2,2,1,1,2,4
81,2,2,1,2,2,2,2,1,2,1,5
81,2,2,1,2,2,2,2,1,2,2,4
81,2,2,1,2,2,2,2,2,1,1,5
81,2,2,1,2,2,2,2,2,1,2,4
81,2,2,1,2,2,2,2,2,2,1,5
81,2,2,1,2,2,2,2,2,2,2,4
82,2,3,1,3,1,1,3,1,1,1,5
82,2,3,1,3,1,1,3,1,1,2,5
82,2,3,1,3,1,1,3,1,2,1,5
82,2,3,1,3,1,1,3,1,2,2,5
82,2,3,1,3,1,1,3,2,1,1,4
82,2,3,1,3,1,1,3,2,1,2,4
82,2,3,1,3,1,1,3,2,2,1,3
82,2,3,1,3,1,1,3,2,2,2,4
83,2,4,1,3,2,2,3,1,1,1,3
83,2,4,1,3,2,2,3,1,1,2,4
83,2,4,1,3,2,2,3,1,2,1,3
83,2,4,1,3,2,2,3,1,2,2,3
83,2,4,1,3,2,2,3,2,1,1,4
83,2,4,1,3,2,2,3,2,1,2,4
83,2,4,1,3,2,2,3,2,2,1,2
83,2,4,1,3,2,2,3,2,2,2,2
84,1,4,1,3,1,2,2,1,1,1,1
84,1,4,1,3,1,2,2,1,1,2,5
84,1,4,1,3,1,2,2,1,2,1,4
84,1,4,1,3,1,2,2,1,2,2,3
84,1,4,1,3,1,2,2,2,1,1,1
84,1,4,1,3,1,2,2,2,1,2,2
84,1,4,1,3,1,2,2,2,2,1,2
84,1,4,1,3,1,2,2,2,2,2,2
85,2,2,1,1,1,2,3,1,1,1,4
85,2,2,1,1,1,2,3,1,1,2,3
85,2,2,1,1,1,2,3,1,2,1,5
85,2,2,1,1,1,2,3,1,2,2,3
85,2,2,1,1,1,2,3,2,1,1,5
85,2,2,1,1,1,2,3,2,1,2,5
85,2,2,1,1,1,2,3,2,2,1,3
85,2,2,1,1,1,2,3,2,2,2,5
86,2,1,1,1,2,2,3,1,1,1,2
86,2,1,1,1,2,2,3,1,1,2,2
86,2,1,1,1,2,2,3,1,2,1,4
86,2,1,1,1,2,2,3,1,2,2,4
86,2,1,1,1,2,2,3,2,1,1,4
86,2,1,1,1,2,2,3,2,1,2,4
86,2,1,1,1,2,2,3,2,2,1,4
86,2,1,1,1,2,2,3,2,2,2,4
88,2,4,3,3,3,2,3,1,1,1,4
88,2,4,3,3,3,2,3,1,1,2,4
88,2,4,3,3,3,2,3,1,2,1,3
88,2,4,3,3,3,2,3,1,2,2,3
88,2,4,3,3,3,2,3,2,1,1,4
88,2,4,3,3,3,2,3,2,1,2,3
88,2,4,3,3,3,2,3,2,2,1,3
88,2,4,3,3,3,2,3,2,2,2,4
